.rowname	drug	drugName	group
LAPATINIB	Lapatinib	Lapatinib	Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Tyrosine Kinase Inhibitors;
SEPANTRONIUM BROMIDE	Sepantronium bromide	Sepantronium bromide	CYTOTOXIC
TRETINOIN	Tretinoin	Tretinoin	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Dermatologic Agents; Keratolytic Agents; Retinoids; Targeted therapies
WIKI4	WIKI4	WIKI4	
IOX2	IOX2	IOX2	
DACTOLISIB	Dactolisib	Dactolisib	SIGNALING
SAPITINIB	Sapitinib	Sapitinib	Signaling
GNE-317	GNE-317	GNE-317	SIGNALING
SB505124	SB505124	SB505124	SIGNALING
AZD8186	AZD8186	AZD8186	SIGNALING
ELESCLOMOL	Elesclomol	Elesclomol	Signaling
GSK1904529A	GSK1904529A	GSK1904529A	SIGNALING
PICTILISIB	Pictilisib	Pictilisib	SIGNALING
AZD8055	AZD8055	AZD8055	Signaling
DORAMAPIMOD	Doramapimod	Doramapimod	Signaling
WEHI-539	WEHI-539	WEHI-539	CYTOTOXIC
ENTINOSTAT	Entinostat	Entinostat	Signaling
ENTOSPLETINIB	Entospletinib	Entospletinib	SIGNALING
IBRUTINIB	Ibrutinib	Ibrutinib	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Targeted therapies
METHOTREXATE	Methotrexate	Methotrexate	Breast Feeding; Lactation; Milk, Human; Abortifacient Agents, Nonsteroidal; Antimetabolites, Antineoplastic; Antirheumatic Agents; Folic Acid Antagonists; Immunosuppressive Agents; Cytotoxic medicines; Dermatological medicines > Medicines affecting skin differentiation and proliferation; Disease-modifying anti-rheumatic drugs (DMARDs)
BDOCA000347A	BDOCA000347a	BDOCA000347a	
OSIMERTINIB	Osimertinib	Osimertinib	Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors
GEFITINIB	Gefitinib	Gefitinib	Signaling
PLX-4720	PLX-4720	PLX-4720	SIGNALING
BMS-536924	BMS-536924	BMS-536924	SIGNALING
PD173074	PD173074	PD173074	Signaling
ROMIDEPSIN	Romidepsin	Romidepsin	Antineoplastic Agents
741909	741909	741909	
ASCORBATE (VITAMIN C)	ascorbate (vitamin C)	ascorbate (vitamin C)	
JAK_8517	JAK_8517	JAK_8517	SIGNALING
RAPAMYCIN	Rapamycin	Rapamycin	Breast Feeding; Lactation; Milk, Human; Immunosuppressive Agents
MN-64	MN-64	MN-64	
BORTEZOMIB	Bortezomib	Bortezomib	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Proteasome Inhibitors; Targeted therapies
GSK591	GSK591	GSK591	EPIGENETICS AND TRANSCRIPTION
AZD2014	AZD2014	AZD2014	SIGNALING
RVX-208	RVX-208	RVX-208	EPIGENETICS AND TRANSCRIPTION
GDC0810	GDC0810	GDC0810	HORMONES AND ANTIHORMONES
SB590885	SB590885	SB590885	SIGNALING
TANESPIMYCIN	Tanespimycin	Tanespimycin	
AZD4547	AZD4547	AZD4547	SIGNALING
MG-132	MG-132	MG-132	
LCL161	LCL161	LCL161	CYTOTOXIC
OF-1	OF-1	OF-1	
OSI-027	OSI-027	OSI-027	SIGNALING
AFATINIB	Afatinib	Afatinib	Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Tyrosine Kinase Inhibitors; Targeted therapies
AZ6102	AZ6102	AZ6102	
ERLOTINIB	Erlotinib	Erlotinib	Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Tyrosine Kinase Inhibitors;; Targeted therapies
UMI-77	UMI-77	UMI-77	CYTOTOXIC
AZD1332	AZD1332	AZD1332	
TAF1_5496	TAF1_5496	TAF1_5496	EPIGENETICS AND TRANSCRIPTION
743380	743380	743380	
765771	765771	765771	
REMODELIN	Remodelin	Remodelin	
OTX015	OTX015	OTX015	EPIGENETICS AND TRANSCRIPTION
123829	123829	123829	
NVP-ADW742	NVP-ADW742	NVP-ADW742	SIGNALING
ML323	ML323	ML323	
TASELISIB	Taselisib	Taselisib	SIGNALING
776928	776928	776928	
EHT-1864	EHT-1864	EHT-1864	
I-BET-762	I-BET-762	I-BET-762	EPIGENETICS AND TRANSCRIPTION
CHIR-99021	CHIR-99021	CHIR-99021	
P22077	P22077	P22077	
UPROSERTIB	Uprosertib	Uprosertib	SIGNALING
MK-2206	MK-2206	MK-2206	SIGNALING
ALPELISIB	Alpelisib	Alpelisib	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents
SCH772984	SCH772984	SCH772984	SIGNALING
SERDEMETAN	Serdemetan	Serdemetan	
TEMSIROLIMUS	Temsirolimus	Temsirolimus	Breast Feeding; Lactation; Immunosuppressive Agents
DIHYDROROTENONE	Dihydrorotenone	Dihydrorotenone	
JNK INHIBITOR VIII	JNK Inhibitor VIII	JNK Inhibitor VIII	
REFAMETINIB	Refametinib	Refametinib	Signaling
ULK1_4989	ULK1_4989	ULK1_4989	
LINSITINIB	Linsitinib	Linsitinib	SIGNALING
CYCLOPHOSPHAMIDE	Cyclophosphamide	Cyclophosphamide	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Alkylating Agents; Cytotoxic medicines
VORINOSTAT	Vorinostat	Vorinostat	Antineoplastic Agents
GSK343	GSK343	GSK343	EPIGENETICS AND TRANSCRIPTION
SGC0946	SGC0946	SGC0946	EPIGENETICS AND TRANSCRIPTION
TAMOXIFEN	Tamoxifen	Tamoxifen	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Estrogen Antagonists; Hormones and antihormones
PRT062607	PRT062607	PRT062607	SIGNALING
ULIXERTINIB	Ulixertinib	Ulixertinib	Signaling
SELUMETINIB	Selumetinib	Selumetinib	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Tyrosine Kinase Inhibitors; Signal Transduction Inhibitors; MEK Inhibitors
BMS-754807	BMS-754807	BMS-754807	SIGNALING
NU7441	NU7441	NU7441	
DINACICLIB	Dinaciclib	Dinaciclib	Signaling
VE-822	VE-822	VE-822	
CCT007093	CCT007093	CCT007093	
ICL-SIRT078	ICL-SIRT078	ICL-SIRT078	EPIGENETICS AND TRANSCRIPTION
BUPARLISIB	Buparlisib	Buparlisib	SIGNALING
AFURESERTIB	Afuresertib	Afuresertib	SIGNALING
IPATASERTIB	Ipatasertib	Ipatasertib	SIGNALING
AZD5363	AZD5363	AZD5363	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors
WNT-C59	Wnt-C59	Wnt-C59	SIGNALING
AZD5582	AZD5582	AZD5582	CYTOTOXIC
ACETALAX	Acetalax	Acetalax	
PYRIDOSTATIN	Pyridostatin	Pyridostatin	
N-ACETYL CYSTEINE	N-acetyl cysteine	N-acetyl cysteine	
PAK_5339	PAK_5339	PAK_5339	
STAUROSPORINE	Staurosporine	Staurosporine	
AZD6482	AZD6482	AZD6482	SIGNALING
AZD3759	AZD3759	AZD3759	SIGNALING
CEDIRANIB	Cediranib	Cediranib	SIGNALING
GSK2578215A	GSK2578215A	GSK2578215A	
IGF1R_3801	IGF1R_3801	IGF1R_3801	SIGNALING
WEE1 INHIBITOR	Wee1 Inhibitor	Wee1 Inhibitor	SIGNALING
AT13148	AT13148	AT13148	Signaling
MIRA-1	MIRA-1	MIRA-1	
AGI-6780	AGI-6780	AGI-6780	
GW441756	GW441756	GW441756	
AGK2	AGK2	AGK2	EPIGENETICS AND TRANSCRIPTION
TRAMETINIB	Trametinib	Trametinib	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; MEK Inhibitors
DASATINIB	Dasatinib	Dasatinib	Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Tyrosine Kinase Inhibitors; Targeted therapies
BX795	BX795	BX795	
AVAGACESTAT	Avagacestat	Avagacestat	
FULVESTRANT	Fulvestrant	Fulvestrant	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents, Hormonal; Estrogen Receptor Antagonists
LUMINESPIB	Luminespib	Luminespib	
720427	720427	720427	
CCT-018159	CCT-018159	CCT-018159	
LY2109761	LY2109761	LY2109761	SIGNALING
AMG-319	AMG-319	AMG-319	SIGNALING
PD0325901	PD0325901	PD0325901	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; MEK inhibitors
CZC24832	CZC24832	CZC24832	
HKMTI-1-005	HKMTI-1-005	HKMTI-1-005	EPIGENETICS AND TRANSCRIPTION
LEFLUNOMIDE	Leflunomide	Leflunomide	Signaling
GSK2110183B	GSK2110183B	GSK2110183B	
